"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 22, 2022","2,528.00","2,509.00","2,528.00","2,464.00","-","-0.22%"
"Jun 21, 2022","2,533.50","2,526.00","2,530.00","2,526.00","-","0.26%"
"Jun 20, 2022","2,527.00","2,488.00","2,482.00","2,481.00","21.89K","1.16%"
"Jun 17, 2022","2,498.00","2,500.00","2,500.00","2,500.00","40.74K","-0.26%"
"Jun 16, 2022","2,504.50","2,535.00","2,529.00","2,525.00","56.34K","-3.39%"
"Jun 15, 2022","2,592.50","2,600.00","2,594.00","2,593.50","46.51K","0.88%"
"Jun 14, 2022","2,570.00","2,615.00","2,610.00","2,610.00","51.08K","-2.21%"
"Jun 13, 2022","2,628.00","2,608.00","2,607.00","2,606.00","61.18K","-1.94%"
"Jun 10, 2022","2,680.00","2,705.00","2,710.00","2,705.00","44.18K","-2.93%"
"Jun 09, 2022","2,761.00","2,785.00","2,788.00","2,785.00","41.39K","-2.06%"
"Jun 08, 2022","2,819.00","2,798.00","2,797.00","2,798.00","35.34K","1.46%"
"Jun 07, 2022","2,778.50","2,755.00","2,745.00","2,745.00","39.60K","-0.14%"
"Jun 06, 2022","2,782.50","2,783.00","2,781.00","2,774.00","44.10K","2.07%"
"Jun 01, 2022","2,726.00","2,740.00","2,730.00","2,728.00","57.00K","-2.19%"
"May 31, 2022","2,787.00","2,855.00","2,853.00","2,850.00","40.09K","-3.51%"
"May 30, 2022","2,888.50","2,891.00","2,890.00","2,891.00","18.02K","0.59%"
"May 27, 2022","2,871.50","2,855.00","2,845.00","2,847.00","23.68K","0.23%"
"May 26, 2022","2,865.00","2,876.00","2,856.00","2,857.00","23.78K","-0.31%"
"May 25, 2022","2,874.00","2,858.00","2,857.50","2,857.00","32.05K","-0.95%"
"May 24, 2022","2,901.50","2,907.00","2,907.00","2,907.00","30.17K","-1.84%"
"May 23, 2022","2,956.00","2,975.00","2,973.00","2,975.00","35.61K","0.34%"
"May 20, 2022","2,946.00","2,958.00","2,953.00","2,935.00","40.39K","1.36%"
"May 19, 2022","2,906.50","2,850.00","2,840.00","2,840.00","33.06K","1.71%"
"May 18, 2022","2,857.50","2,878.00","2,873.00","2,875.00","33.80K","-1.14%"
"May 17, 2022","2,890.50","2,865.00","2,862.00","2,858.00","42.27K","2.07%"
"May 16, 2022","2,832.00","2,814.00","2,820.00","2,814.00","29.61K","1.58%"
"May 13, 2022","2,788.00","2,763.00","2,758.00","2,750.00","37.94K","1.68%"
"May 12, 2022","2,742.00","2,723.00","2,722.00","2,723.00","46.72K","-1.30%"
"May 11, 2022","2,778.00","2,770.00","2,770.00","2,770.00","44.51K","0.89%"
"May 10, 2022","2,753.50","2,715.00","2,713.00","2,715.00","44.15K","-0.05%"
"May 09, 2022","2,755.00","2,754.00","2,750.00","2,750.00","51.52K","-3.06%"
"May 06, 2022","2,842.00","2,875.00","2,868.00","2,870.00","48.51K","-2.54%"
"May 05, 2022","2,916.00","2,948.00","2,946.00","2,947.00","48.40K","-1.25%"
"May 04, 2022","2,953.00","2,960.00","2,961.50","2,960.00","34.42K","1.44%"
"May 03, 2022","2,911.00","2,945.00","2,945.00","2,945.00","61.37K","-4.64%"
"Apr 29, 2022","3,052.50","3,050.00","3,043.00","3,044.00","36.84K","0.69%"
"Apr 28, 2022","3,031.50","3,088.00","3,083.00","3,083.00","30.34K","-2.00%"
"Apr 27, 2022","3,093.50","3,110.00","3,115.00","3,110.00","24.27K","0.95%"
"Apr 26, 2022","3,064.50","3,122.00","3,117.00","3,117.00","33.24K","-0.99%"
"Apr 25, 2022","3,095.00","3,156.00","3,184.00","3,062.00","-","-4.64%"
"Apr 22, 2022","3,245.50","3,265.00","3,259.00","3,260.00","-","-1.59%"
"Apr 21, 2022","3,298.00","3,283.00","3,275.50","3,275.50","21.17K","0.89%"
"Apr 20, 2022","3,269.00","3,250.00","3,250.00","3,250.00","43.64K","0.25%"
"Apr 19, 2022","3,261.00","3,327.00","3,325.00","3,325.00","32.81K","-0.75%"
"Apr 14, 2022","3,285.50","3,275.00","3,270.00","3,265.00","27.38K","1.53%"
"Apr 13, 2022","3,236.00","3,240.00","3,237.50","3,238.00","31.95K","-0.95%"
"Apr 12, 2022","3,267.00","3,245.00","3,244.00","3,245.00","33.61K","0.58%"
"Apr 11, 2022","3,248.00","3,251.00","3,249.00","3,251.00","50.28K","-3.75%"
"Apr 08, 2022","3,374.50","3,423.00","3,422.00","3,423.00","25.82K","-0.31%"
"Apr 07, 2022","3,385.00","3,380.00","3,372.00","3,374.00","41.48K","-1.63%"
"Apr 06, 2022","3,441.00","3,462.00","3,466.00","3,460.00","34.06K","-0.69%"
"Apr 05, 2022","3,465.00","3,445.00","3,440.00","3,441.00","24.42K","0.52%"
"Apr 04, 2022","3,447.00","3,487.00","3,481.00","3,461.00","30.76K","-0.09%"
"Apr 01, 2022","3,450.00","3,499.00","3,497.00","3,499.00","29.15K","-1.17%"
"Mar 31, 2022","3,491.00","3,525.00","3,518.00","3,518.00","37.28K","-1.69%"
"Mar 30, 2022","3,551.00","3,530.00","3,526.00","3,527.00","24.50K","3.35%"
"Mar 29, 2022","3,436.00","3,610.00","3,606.00","3,608.00","60.30K","-4.93%"
"Mar 28, 2022","3,614.00","3,615.00","3,615.50","3,615.00","17.90K","0.25%"
"Mar 25, 2022","3,605.00","3,600.00","3,595.00","3,590.50","20.85K","-0.51%"
"Mar 24, 2022","3,623.50","3,677.00","3,675.00","3,675.50","30.65K","-0.81%"
"Mar 23, 2022","3,653.00","3,560.00","3,558.00","3,560.00","32.58K","4.24%"
"Mar 22, 2022","3,504.50","3,570.00","3,553.00","3,550.50","32.40K","-0.47%"
"Mar 21, 2022","3,521.00","3,502.00","3,524.00","3,502.00","39.49K","4.14%"
"Mar 18, 2022","3,381.00","3,400.50","3,399.50","3,400.00","27.28K","-0.10%"
"Mar 17, 2022","3,384.50","3,317.00","3,315.00","3,317.00","29.82K","3.87%"
"Mar 16, 2022","3,258.50","3,327.00","3,325.00","3,327.00","36.07K","-0.58%"
"Mar 15, 2022","3,277.50","3,276.00","3,274.00","3,254.00","63.06K","-1.27%"
"Mar 14, 2022","3,319.50","3,413.00","3,410.00","3,411.00","37.15K","-4.69%"
"Mar 11, 2022","3,483.00","3,437.00","3,500.00","3,437.00","30.79K","1.62%"
"Mar 10, 2022","3,427.50","3,530.00","3,531.00","3,530.00","53.25K","2.59%"
"Mar 09, 2022","3,341.00","3,522.00","3,533.00","3,522.00","69.17K","-4.49%"
"Mar 08, 2022","3,498.00","3,516.00","3,514.00","3,516.00","92.28K","-6.47%"
"Mar 07, 2022","3,740.00","3,968.00","3,966.00","3,968.00","83.05K","-2.83%"
"Mar 04, 2022","3,849.00","3,804.00","3,819.00","3,804.00","76.73K","3.57%"
"Mar 03, 2022","3,716.50","3,704.00","3,703.50","3,704.00","106.23K","4.13%"
"Mar 02, 2022","3,569.00","3,566.00","3,568.00","3,566.00","68.40K","2.62%"
"Mar 01, 2022","3,478.00","3,463.00","3,462.00","3,463.00","68.56K","3.25%"
"Feb 28, 2022","3,368.50","3,415.00","3,445.00","3,414.00","85.69K","0.33%"
"Feb 25, 2022","3,357.50","3,314.00","3,312.00","3,314.00","57.61K","-1.09%"
"Feb 24, 2022","3,394.50","3,425.00","3,443.00","3,425.00","106.85K","3.10%"
"Feb 23, 2022","3,292.50","3,285.00","3,288.00","3,285.00","50.20K","-0.32%"
"Feb 22, 2022","3,303.00","3,326.00","3,366.00","3,326.00","69.13K","0.72%"
"Feb 21, 2022","3,279.50","3,272.00","3,270.00","3,269.00","28.21K","0.52%"
"Feb 18, 2022","3,262.50","3,261.00","3,263.00","3,261.00","42.99K","-0.17%"
"Feb 17, 2022","3,268.00","3,254.00","3,252.00","3,241.00","39.81K","0.37%"
"Feb 16, 2022","3,256.00","3,242.00","3,240.00","3,242.00","55.31K","1.50%"
"Feb 15, 2022","3,208.00","3,200.00","3,194.00","3,195.00","41.55K","-0.20%"
"Feb 14, 2022","3,214.50","3,186.00","3,305.00","3,186.00","55.23K","2.49%"
"Feb 11, 2022","3,136.50","3,183.00","3,179.00","3,180.00","73.47K","-3.51%"
"Feb 10, 2022","3,250.50","3,290.00","3,286.00","3,286.00","64.74K","-0.47%"
"Feb 09, 2022","3,266.00","3,225.50","3,225.00","3,225.50","51.53K","2.61%"
"Feb 08, 2022","3,183.00","3,205.00","3,194.50","3,195.00","77.23K","1.63%"
"Feb 07, 2022","3,132.00","3,115.00","3,110.50","3,110.50","45.88K","1.89%"
"Feb 04, 2022","3,074.00","3,065.00","3,063.00","3,065.00","42.23K","0.79%"
